x:-61.00,y:334.80,z:400.60,t:294290
x:-418.00,y:-609.60,z:77.60,t:294294
x:463.20,y:297.80,z:-441.00,t:294298
x:-15.80,y:59.40,z:235.60,t:294301
x:-217.20,y:-388.80,z:-71.60,t:294305
x:253.40,y:466.40,z:3.80,t:294309
x:391.80,y:89.40,z:-308.00,t:294313
x:115.60,y:450.20,z:189.80,t:294318
x:-311.40,y:-466.00,z:107.40,t:294322
x:257.80,y:326.80,z:-404.00,t:294326
x:283.40,y:212.60,z:-367.80,t:294330
x:-238.60,y:601.20,z:-16.60,t:294334
x:-273.40,y:-652.80,z:239.80,t:294338
x:568.60,y:704.20,z:-396.80,t:294342
x:-534.80,y:-208.40,z:345.60,t:294345
x:259.60,y:-406.00,z:-156.60,t:294349
x:50.80,y:890.40,z:5.00,t:294353
x:-333.80,y:-490.20,z:175.00,t:294358
x:161.60,y:70.60,z:-402.00,t:294362
x:-198.60,y:345.40,z:297.60,t:294366
x:-159.80,y:-491.80,z:-164.20,t:294370
x:479.60,y:611.20,z:-215.40,t:294374
x:-508.60,y:167.80,z:183.20,t:294378
x:-20.80,y:-322.20,z:-361.20,t:294382
x:288.60,y:504.20,z:31.40,t:294386
x:-260.60,y:-94.00,z:287.80,t:294389
x:-20.80,y:-222.60,z:-270.00,t:294393
x:54.40,y:530.40,z:178.40,t:294397
x:-379.80,y:-530.00,z:212.60,t:294402
x:451.00,y:70.80,z:-312.20,t:294406
x:-12.00,y:212.40,z:380.20,t:294410
x:-322.40,y:-628.40,z:60.40,t:294414
x:572.80,y:236.60,z:-435.20,t:294418
x:-30.00,y:71.80,z:440.60,t:294421
x:-269.80,y:-432.20,z:-214.40,t:294425
x:97.80,y:895.80,z:-419.00,t:294429
x:-490.20,y:199.60,z:380.60,t:294433
x:211.20,y:-197.00,z:-273.20,t:294437
x:423.00,y:597.00,z:38.20,t:294441
x:-252.00,y:-221.00,z:299.00,t:294446
x:132.00,y:22.20,z:-465.60,t:294450
x:215.40,y:490.20,z:19.40,t:294454
x:-157.00,y:-564.80,z:73.80,t:294458
x:68.80,y:127.80,z:-279.40,t:294461
x:-367.00,y:645.40,z:125.00,t:294465
x:-239.80,y:-603.40,z:-196.00,t:294469
x:354.40,y:500.20,z:-338.40,t:294473
x:-183.20,y:265.00,z:211.40,t:294477
x:20.00,y:-301.40,z:-96.40,t:294481
x:801.20,y:829.40,z:-250.20,t:294486
x:-243.20,y:-212.60,z:536.20,t:294490
x:-9.00,y:-588.20,z:-210.20,t:294494
x:177.00,y:1008.00,z:-205.40,t:294498
x:-863.80,y:31.20,z:98.60,t:294502
x:401.80,y:-64.00,z:-330.60,t:294505
x:282.40,y:681.60,z:-88.00,t:294509
x:-355.00,y:-567.20,z:306.60,t:294513
